2	67
3	362
4	1,167
5	2,883
6	6,037
7	11,286
8	19,422
9	31,377
10	48,228
11	71,201
12	101,676
13	141,192
14	191,453
15	254,329
16	331,866
17	426,287
18	539,999
19	675,595
20	835,861
21	1,023,783
22	1,242,545
23	1,301,364
24	1,447,733
25	2,118,875
26	2,497,076
27	2,925,249
28	3,407,896
29	3,949,754
30	4,555,795
31	5,231,244
32	5,981,575
33	6,812,513
34	7,730,043
35	8,740,421
36	9,850,165
37	11,066,071
38	12,395,215
39	13,844,951
40	15,422,928
41	17,137,086
42	18,995,665
43	21,007,200
44	23,180,550
45	25,524,869
46	28,049,631
47	30,764,650
48	33,680,051
49	36,806,285
50	40,154,161
51	45,525,133
52	51,262,487
53	57,383,992
54	63,907,914
55	70,853,088
56	80,700,825
57	91,162,660
58	102,265,882
59	114,038,590
60	126,509,653
61	146,308,201
62	167,244,335
63	189,364,888
64	212,717,913
65	237,352,657
66	271,975,264
67	308,443,191
68	346,827,140
69	387,199,535
70	429,634,523
71	474,207,980
72	532,694,971
73	606,322,751
74	696,381,374
75	804,225,311
76	931,275,813
77	1,151,275,702
78	1,511,275,832
79	2,099,275,897
